"geoid","USPS","pop2010"
"48301","TX",82
"15005","HI",90
"48269","TX",286
"48261","TX",416
"31005","NE",460
"31009","NE",478
"30069","MT",494
"31117","NE",539
"31075","NE",614
"31115","NE",632
"48033","TX",641
"31171","NE",647
"02282","AK",662
"31007","NE",690
"35021","NM",695
"08111","CO",699
"48311","TX",707
"08079","CO",712
"30103","MT",718
"38087","ND",727
"31091","NE",736
"31113","NE",763
"32009","NV",783
"38007","ND",783
"48263","TX",808
"31183","NE",818
"31103","NE",824
"08053","CO",843
"30037","MT",884
"48393","TX",929
"31085","NE",967
"02230","AK",968
"16033","ID",982
"48443","TX",984
"02060","AK",997
"46075","SD",1006
"30109","MT",1017
"49009","UT",1059
"16025","ID",1117
"48431","TX",1143
"30011","MT",1160
"06003","CA",1175
"30079","MT",1179
"30033","MT",1206
"48345","TX",1210
"48173","TX",1226
"20071","KS",1247
"46063","SD",1255
"31165","NE",1311
"38083","ND",1321
"48155","TX",1336
"46119","SD",1373
"08057","CO",1394
"08061","CO",1398
"28055","MS",1406
"46069","SD",1420
"41069","OR",1441
"46021","SD",1466
"20199","KS",1485
"48433","TX",1490
"48101","TX",1505
"31149","NE",1526
"49031","UT",1556
"48235","TX",1599
"02164","AK",1631
"48045","TX",1637
"48447","TX",1641
"38033","ND",1680
"13265","GA",1717
"30055","MT",1734
"30075","MT",1743
"20101","KS",1750
"30019","MT",1751
"41055","OR",1765
"02068","AK",1826
"08017","CO",1836
"38065","ND",1846
"41021","OR",1871
"20033","KS",1891
"30059","MT",1891
"48011","TX",1901
"46017","SD",1912
"20083","KS",1916
"46055","SD",1937
"31049","NE",1941
"38013","ND",1968
"38091","ND",1975
"32011","NV",1987
"38047","ND",1990
"48137","TX",2002
"31057","NE",2008
"35011","NM",2022
"31073","NE",2044
"46095","SD",2048
"31071","NE",2049
"48359","TX",2052
"31069","NE",2057
"08033","CO",2064
"38023","ND",2071
"46073","SD",2071
"30045","MT",2072
"31015","NE",2099
"02105","AK",2150
"26083","MI",2156
"30107","MT",2168
"29227","MO",2171
"20025","KS",2215
"20203","KS",2234
"20187","KS",2235
"48327","TX",2242
"38095","ND",2246
"49033","UT",2264
"53023","WA",2266
"21201","KY",2282
"51091","VA",2321
"46107","SD",2329
"30051","MT",2339
"48243","TX",2342
"38001","ND",2343
"46111","SD",2355
"46049","SD",2364
"02275","AK",2369
"08115","CO",2379
"38027","ND",2385
"46097","SD",2389
"38037","ND",2394
"48109","TX",2398
"38039","ND",2420
"38043","ND",2435
"48125","TX",2444
"46089","SD",2459
"38075","ND",2470
"40025","OK",2475
"38041","ND",2477
"56027","WY",2484
"02100","AK",2508
"13239","GA",2513
"20153","KS",2519
"31077","NE",2538
"20097","KS",2553
"20179","KS",2556
"20065","KS",2597
"20075","KS",2690
"20063","KS",2695
"46003","SD",2710
"20023","KS",2726
"20109","KS",2756
"31063","NE",2756
"31133","NE",2773
"49055","UT",2778
"20017","KS",2790
"13307","GA",2799
"46137","SD",2801
"38051","ND",2809
"20049","KS",2882
"30025","MT",2890
"16023","ID",2891
"31087","NE",2908
"40057","OK",2922
"20039","KS",2961
"46117","SD",2966
"31135","NE",2970
"46105","SD",2982
"20195","KS",3001
"46043","SD",3002
"46071","SD",3031
"48421","TX",3034
"20047","KS",3037
"48087","TX",3057
"20089","KS",3077
"30039","MT",3079
"13125","GA",3082
"20135","KS",3107
"38063","ND",3126
"48079","TX",3127
"02013","AK",3141
"31017","NE",3145
"38011","ND",3151
"31163","NE",3152
"13061","GA",3183
"31061","NE",3225
"20129","KS",3233
"06091","CA",3240
"20105","KS",3241
"48295","TX",3302
"20165","KS",3307
"20207","KS",3309
"48385","TX",3309
"48081","TX",3320
"46061","SD",3331
"38031","ND",3343
"48191","TX",3353
"48461","TX",3355
