"county","airport_iata","attribution","countyname","new_metrop","metrop_labels"
"06001","HWD",0.201440803781491,"Alameda","SF","San Francisco"
"06001","LVK",0.466369529119343,"Alameda","SF","San Francisco"
"06001","NUQ",0.0447109800431987,"Alameda","SF","San Francisco"
"06001","OAK",0.169949423797272,"Alameda","SF","San Francisco"
"06001","PAO",0.0391427899820569,"Alameda","SF","San Francisco"
"06001","RHV",0.0494467845196789,"Alameda","SF","San Francisco"
"06001","SJC",0.0287943621720639,"Alameda","SF","San Francisco"
"06001","SQL",0.000145329738907242,"Alameda","SF","San Francisco"
"06003","MEV",0.277121952767048,"Alpine","0",NA
"06003","TVL",0.722878047219657,"Alpine","0",NA
"06005","MHR",0.129169966003143,"Amador","0",NA
"06005","COA",0.023704859256088,"Amador","0",NA
"06005","ODC",0.00119193445784449,"Amador","0",NA
"06005","PVF",0.637277476228513,"Amador","0",NA
"06005","SCK",0.0197290913538289,"Amador","0",NA
"06005","TVL",0.188926672812661,"Amador","0",NA
"06007","GNF",0.0583580581189662,"Butte","0",NA
"06007","BAB",0.00706273083837518,"Butte","0",NA
"06007","CIC",0.386201281906624,"Butte","0",NA
"06007","OVE",0.544014133064338,"Butte","0",NA
"06007","WLW",0.00436379584420672,"Butte","0",NA
"06009","COA",0.729791757805903,"Calaveras","0",NA
"06009","ODC",0.184447053896316,"Calaveras","0",NA
"06009","PVF",0.0196990142270609,"Calaveras","0",NA
"06009","SCK",0.0252959255579136,"Calaveras","0",NA
"06009","TVL",0.0407662486661002,"Calaveras","0",NA
"06011","CKE",0.116233287203911,"Colusa","0",NA
"06011","MYV",0.160969638052702,"Colusa","0",NA
"06011","OVE",0.00868423096188168,"Colusa","0",NA
"06011","SMF",0.00000136425663196061,"Colusa","0",NA
"06011","WLW",0.714111479498846,"Colusa","0",NA
"06013","APC",0.0570113521453922,"Contra Costa","SF","San Francisco"
"06013","CCR",0.41861170985471,"Contra Costa","SF","San Francisco"
"06013","NOT",0.0267418177358812,"Contra Costa","SF","San Francisco"
"06013","HWD",0.0177280964893196,"Contra Costa","SF","San Francisco"
"06013","LVK",0.354149744369978,"Contra Costa","SF","San Francisco"
"06013","OAK",0.0685830166791476,"Contra Costa","SF","San Francisco"
"06013","SCK",0.0163647950984423,"Contra Costa","SF","San Francisco"
"06013","SUU",0.0408094650755719,"Contra Costa","SF","San Francisco"
"06015","BOK",0.0451877605602479,"Del Norte","0",NA
"06015","GTP",0.0285748079216439,"Del Norte","0",NA
"06015","ACV",0.0288240950359249,"Del Norte","0",NA
"06015","CEC",0.89741333722216,"Del Norte","0",NA
"06017","AUN",0.0806557879773796,"El Dorado","SC","Sacremento"
"06017","BLU",0.00533472490194676,"El Dorado","SC","Sacremento"
"06017","MHR",0.0203782821460007,"El Dorado","SC","Sacremento"
"06017","PVF",0.54251105960885,"El Dorado","SC","Sacremento"
"06017","TKF",0.00291258459509226,"El Dorado","SC","Sacremento"
"06017","TVL",0.348207559207641,"El Dorado","SC","Sacremento"
"06019","BIH",0.118006094255547,"Fresno","FN","Fresno"
"06019","CLG",0.184934886529065,"Fresno","FN","Fresno"
"06019","FAT",0.191661464940093,"Fresno","FN","Fresno"
"06019","FCH",0.0692211361493981,"Fresno","FN","Fresno"
"06019","KIC",0.0000000693861598337184,"Fresno","FN","Fresno"
"06019","LSN",0.0656520174675734,"Fresno","FN","Fresno"
"06019","MAE",0.053349853248207,"Fresno","FN","Fresno"
"06019","MCE",0.00568906130749285,"Fresno","FN","Fresno"
"06019","MMH",0.160196894359207,"Fresno","FN","Fresno"
"06019","NLC",0.084414023531887,"Fresno","FN","Fresno"
"06019","VIS",0.0655706733610941,"Fresno","FN","Fresno"
"06019","SYL",0.00130382549210451,"Fresno","FN","Fresno"
"06021","CKE",0.0108202002671837,"Glenn","0",NA
"06021","CIC",0.0507961493995401,"Glenn","0",NA
"06021","OVE",0.0179256869562047,"Glenn","0",NA
"06021","RBL",0.0000558796130888654,"Glenn","0",NA
"06021","UKI",0.0297408054072489,"Glenn","0",NA
"06021","WLW",0.890661279314522,"Glenn","0",NA
"06023","FOB",0.0526647460928568,"Humboldt","0",NA
"06023","ACV",0.260992603973555,"Humboldt","0",NA
"06023","CEC",0.0169829546339145,"Humboldt","0",NA
"06023","EKA",0.168220724246534,"Humboldt","0",NA
"06023","NLN",0.501138971147856,"Humboldt","0",NA
"06025","BLH",0.0978076789693096,"Imperial","0",NA
"06025","BWC",0.120613757111262,"Imperial","0",NA
"06025","CLR",0.217726955895689,"Imperial","0",NA
