"county","airport_iata","attribution","countyname"
"04001","AZA_PHX_TUS",1,"Apache"
"04003","AZA_PHX_TUS",1,"Cochise"
"04005","LAS",0.36010880893359,"Coconino"
"04005","AZA_PHX_TUS",0.639891109744502,"Coconino"
"04007","AZA_PHX_TUS",1,"Gila"
"04009","AZA_PHX_TUS",1,"Graham"
"04011","AZA_PHX_TUS",1,"Greenlee"
"04012","LAS",0.473364118894581,"La Paz"
"04012","AZA_PHX_TUS",0.526635887177231,"La Paz"
"04013","AZA_PHX_TUS",1,"Maricopa"
"04015","LAS",0.993452977648642,"Mohave"
"04015","AZA_PHX_TUS",0.00654701304565963,"Mohave"
"04017","AZA_PHX_TUS",1,"Navajo"
"04019","AZA_PHX_TUS",1,"Pima"
"04021","AZA_PHX_TUS",1,"Pinal"
"04023","AZA_PHX_TUS",1,"Santa Cruz"
"04025","LAS",0.158307302006552,"Yavapai"
"04025","AZA_PHX_TUS",0.84169271344401,"Yavapai"
"04027","LAS",7.33002443810321e-05,"Yuma"
"04027","BUR_LAX_LGB_ONT_PSP_SAN_SNA",0.00943264232075278,"Yuma"
"04027","AZA_PHX_TUS",0.990494053177057,"Yuma"
"06001","OAK_SFO_SJC_SMF",1,"Alameda"
"06003","RNO",1,"Alpine"
"06005","RNO",0.478764710972695,"Amador"
"06005","OAK_SFO_SJC_SMF",0.521235289248411,"Amador"
"06007","RNO",0.517648748760511,"Butte"
"06007","OAK_SFO_SJC_SMF",0.482351249048605,"Butte"
"06009","FAT",0.0574931828956135,"Calaveras"
"06009","RNO",0.446497575997331,"Calaveras"
"06009","OAK_SFO_SJC_SMF",0.496009242017895,"Calaveras"
"06011","OAK_SFO_SJC_SMF",1,"Colusa"
"06013","OAK_SFO_SJC_SMF",1,"Contra Costa"
"06015","PDX",0.755550852483277,"Del Norte"
"06015","OAK_SFO_SJC_SMF",0.24444914792779,"Del Norte"
"06017","OAK_SFO_SJC_SMF",0.121213035798115,"El Dorado"
"06019","FAT",1,"Fresno"
"06021","OAK_SFO_SJC_SMF",1,"Glenn"
"06023","OAK_SFO_SJC_SMF",1,"Humboldt"
"06025","LAS",0.0826649702315086,"Imperial"
"06025","BUR_LAX_LGB_ONT_PSP_SAN_SNA",0.866600920097792,"Imperial"
"06025","AZA_PHX_TUS",0.0507340947644359,"Imperial"
"06027","FAT",0.510874070361151,"Inyo"
"06027","LAS",0.453421576526203,"Inyo"
"06027","BUR_LAX_LGB_ONT_PSP_SAN_SNA",0.035702611338033,"Inyo"
"06029","FAT",0.521377552968138,"Kern"
"06029","BUR_LAX_LGB_ONT_PSP_SAN_SNA",0.478622670335195,"Kern"
"06031","FAT",1,"Kings"
"06033","OAK_SFO_SJC_SMF",1,"Lake"
"06035","RNO",1.00000000239869,"Lassen"
"06037","BUR_LAX_LGB_ONT_PSP_SAN_SNA",1,"Los Angeles"
"06039","FAT",1,"Madera"
"06041","OAK_SFO_SJC_SMF",1,"Marin"
"06043","FAT",1,"Mariposa"
"06045","OAK_SFO_SJC_SMF",1,"Mendocino"
"06047","FAT",0.790923256443496,"Merced"
"06047","OAK_SFO_SJC_SMF",0.209076743897065,"Merced"
"06051","FAT",0.718349924863647,"Mono"
"06051","RNO",0.281633806717839,"Mono"
"06053","FAT",0.576212784094903,"Monterey"
"06053","OAK_SFO_SJC_SMF",0.423787217179004,"Monterey"
"06055","OAK_SFO_SJC_SMF",1,"Napa"
"06057","RNO",0.957319425908163,"Nevada"
"06057","OAK_SFO_SJC_SMF",0.0426805740465576,"Nevada"
"06059","BUR_LAX_LGB_ONT_PSP_SAN_SNA",1,"Orange"
"06061","RNO",0.733641295913379,"Placer"
"06061","OAK_SFO_SJC_SMF",0.266358705441602,"Placer"
"06063","RNO",1,"Plumas"
"06065","LAS",0.297099071968978,"Riverside"
"06065","BUR_LAX_LGB_ONT_PSP_SAN_SNA",0.702898905529898,"Riverside"
"06067","OAK_SFO_SJC_SMF",1,"Sacramento"
"06069","FAT",0.636179574815492,"San Benito"
"06069","OAK_SFO_SJC_SMF",0.363820423965065,"San Benito"
