"place","date","amount","source_infection_stage","source_vaccination_stage","source_variant_type","source_age_strata","destination_infection_stage","destination_vaccination_stage","destination_variant_type","destination_age_strata"
"02000",2020-03-15,30.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"02000",2020-11-26,13.3751231527094,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"02000",2020-11-27,33.9416256157636,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"02000",2020-11-28,56.3554187192118,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"02000",2020-11-29,75.1238916256157,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"02000",2020-11-30,116.059852216749,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"02000",2021-05-06,0.713524292965919,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"02000",2021-05-07,1.94267585206672,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"02000",2021-05-08,2.72585206671501,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"02000",2021-05-09,4.87958665699782,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"02000",2021-05-12,10.3291878172589,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"02000",2021-10-28,5.01,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"02000",2021-10-29,6.81,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"02000",2021-10-30,6.58,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"02000",2021-10-31,8.7,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"02000",2021-11-03,13.6,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"04000",2020-01-01,4194223,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"04000",2020-01-01,1267644,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"04000",2020-01-21,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"04000",2020-03-01,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"04000",2020-03-02,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"04000",2020-03-05,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"04000",2020-03-06,30.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"04000",2020-09-03,0.374675324675324,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"04000",2020-09-04,3.57092352092351,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"04000",2020-09-05,4.97424242424241,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"04000",2020-09-06,7.6690476190476,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"04000",2020-09-07,10.9626984126984,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"04000",2021-02-11,0.636346213612349,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"04000",2021-02-12,1.41227079664352,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"04000",2021-02-13,1.82613177250594,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
