dest,travelers
ABE,34287.54750392067
ACY,47493.74848528518
ADW,224
AGC,6151.415812145316
ANP,917.6
AOO,1423.3147599659496
AVP,24587.15971997792
BBX,2075.592822983596
BCB,766.9388485615916
BFD,838.675324035056
BLM,4234.481858881233
BTP,829.5243610593675
BWI,855136.8240354134
CBE,609.8
CDW,4122.741008170691
CGE,989.4
CGS,2095.341797789737
CHO,32332.95273179541
CTH,203.79999999999998
DAN,790.652539844291
DCA,861642.4464267491
DOV,624.2
DUJ,1107.5878798916735
ERI,9377.837289064732
ESN,1964.0227230619284
FDK,802.0000000000001
FKL,650.5845975927723
FME,2990.529548751261
GAI,3505.7605320867483
GED,1016.4197456053877
HAR,1560.8492187645716
HGR,2746.1931099311846
HSP,778.0473684890561
HZL,829.8
IAD,661087.2996573853
IDI,982.0905235935707
ILG,5880.676663672438
IPT,2120.3244475501147
JST,2136.8410292058124
JVI,838.4220362528961
LBE,14163.914925916963
LDJ,1193
LLY,203.79999999999998
LNP,601.2
LNS,3174.3865555086586
LYH,7888.500464243139
MDT,59729.46975709476
MIV,2291.1061946065
MMU,9033.944166600855
MNZ,2275.000318626926
MPO,600.6400214878244
MTN,841.9976428943787
OCE,1539.1909830964232
ORF,163239.5589293777
PCT,2926.787865331562
PHF,20483.846835348195
PHL,874556.9936814973
PIT,384561.6691619137
PNE,4971.863748355917
PSB,797.2
PSK,612.1999999999999
PTB,402
PTW,515.7233548211577
RDG,949.7315354116283
RIC,174342.1176915866
ROA,30500.953903760732
SBY,6375.497064717037
SCE,15636.285410802157
SEG,2887.0991555263895
SHD,1204.0509025113306
TEB,30168.11586417807
TTN,38100.2817733458
VJI,1337.5874920789597
WBW,808.2
WGO,854.9733548211577
WSG,674.9733548211577
WWD,2494.1515059524727
