airport,date,size,mu
BWI,2020-01-01,1,0
BWI,2020-01-02,1,0
BWI,2020-01-03,1,0
BWI,2020-01-04,1,0
BWI,2020-01-05,1,0
BWI,2020-01-06,1,0
BWI,2020-01-07,1,0
BWI,2020-01-08,1,0
BWI,2020-01-09,1,0
BWI,2020-01-10,1,0
BWI,2020-01-11,1,0
BWI,2020-01-12,1,0
BWI,2020-01-13,1,0
BWI,2020-01-14,1,0
BWI,2020-01-15,1,0
BWI,2020-01-16,1,0
BWI,2020-01-17,41623.41961724225,0.009999019815187332
BWI,2020-01-18,41623.41961724225,0.009999019815187332
BWI,2020-01-19,1,0
BWI,2020-01-20,1,0
BWI,2020-01-21,39133.47815470681,0.02000165954680926
BWI,2020-01-22,1,0
BWI,2020-01-23,79380.46538898363,0.03000253125257643
BWI,2020-01-24,41623.41961724225,0.009999019815187332
BWI,2020-01-25,39133.47815470681,0.02000165954680926
BWI,2020-01-26,1,0
BWI,2020-01-27,39133.47815470681,0.02000165954680926
BWI,2020-01-28,1,0
BWI,2020-01-29,41623.41961724225,0.009999019815187332
BWI,2020-01-30,39133.47815470681,0.02000165954680926
BWI,2020-01-31,79380.46538898363,0.03000253125257643
BWI,2020-02-01,41623.41961724225,0.009999019815187332
BWI,2020-02-02,41623.41961724225,0.009999019815187332
BWI,2020-02-03,79380.46538898363,0.03000253125257643
BWI,2020-02-04,433293.01440957014,0.050001841315805734
BWI,2020-02-05,41623.41961724225,0.009999019815187332
BWI,2020-02-06,41623.41961724225,0.009999019815187332
BWI,2020-02-07,41623.41961724225,0.009999019815187332
BWI,2020-02-08,41623.41961724225,0.009999019815187332
BWI,2020-02-09,79380.46538898363,0.03000253125257643
BWI,2020-02-10,41623.41961724225,0.009999019815187332
BWI,2020-02-11,409881.1639146599,0.060010583098237036
BWI,2020-02-12,409881.1639146599,0.060010583098237036
BWI,2020-02-13,429066.08130106394,0.06998524782957033
BWI,2020-02-14,433293.0144086488,0.08000368263169208
BWI,2020-02-15,0.2641668017534233,0.06997204514528743
BWI,2020-02-16,433293.01440957014,0.050001841315805734
BWI,2020-02-17,2765.801257273415,0.15003977445885802
BWI,2020-02-18,990407.9379043989,0.11997602801116353
BWI,2020-02-19,4.90645161290324,0.13
BWI,2020-02-20,0.46507865488988076,0.20997800296464816
BWI,2020-02-21,2.787606962589849,0.3799403540597014
BWI,2020-02-22,1.2370846746271449,0.7801011522181642
