"county","airport_iata","attribution","countyname"
"10001","PHL",0.914654078653678,"Kent"
"10001","BWI",0.085,"Kent"
"10003","PHL",1,"New Castle"
"10005","BWI",0.262212178385059,"Sussex"
"10005","PHL",0.737785920340918,"Sussex"
"11001","DCA",1,"District of Columbia"
"24001","IAD",0.806182241111692,"Allegany"
"24001","PIT",0.193817758648996,"Allegany"
"24003","BWI",0.970974932645558,"Anne Arundel"
"24003","DCA",0.0290250794570878,"Anne Arundel"
"24005","BWI",1,"Baltimore"
"24009","BWI",0.0425540565621981,"Calvert"
"24009","DCA",0.957445920191392,"Calvert"
"24011","BWI",0.994657807438554,"Caroline"
"24011","PHL",0.00534218875280014,"Caroline"
"24013","BWI",0.964010696116272,"Carroll"
"24013","IAD",0.0359893054711325,"Carroll"
"24015","BWI",0.370617771124271,"Cecil"
"24015","PHL",0.629381915814485,"Cecil"
"24017","DCA",1,"Charles"
"24019","BWI",0.999536114538968,"Dorchester"
"24019","DCA",0.000463885503336915,"Dorchester"
"24021","BWI",0.0506887815658815,"Frederick"
"24021","IAD",0.949310954625313,"Frederick"
"24023","PIT",1,"Garrett"
"24025","BWI",1,"Harford"
"24027","BWI",0.932235321562345,"Howard"
"24027","DCA",0.0508640244392139,"Howard"
"24027","IAD",0.0169006536525518,"Howard"
"24029","BWI",0.858396025153813,"Kent"
"24029","PHL",0.141603974223966,"Kent"
"24031","BWI",0.012736239601583,"Montgomery"
"24031","DCA",0.474993437512598,"Montgomery"
"24031","IAD",0.512270323294981,"Montgomery"
"24033","BWI",0.176941685331087,"Prince George's"
"24033","DCA",0.823058313083027,"Prince George's"
"24035","BWI",0.95929780193254,"Queen Anne's"
"24035","PHL",0.0407021978914383,"Queen Anne's"
"24037","DCA",1,"St. Mary's"
"24039","BWI",0.30841555055338,"Somerset"
"24039","ORF",0.691584449649596,"Somerset"
"24041","BWI",1,"Talbot"
"24043","IAD",1,"Washington"
"24045","BWI",0.901971629731814,"Wicomico"
"24045","PHL",0.0980283639221958,"Wicomico"
"24047","BWI",0.0860295171290084,"Worcester"
"24047","ORF",0.562630548243977,"Worcester"
"24047","PHL",0.351340012362772,"Worcester"
"24510","BWI",1,"Baltimore"
"34001","PHL",1,"Atlantic"
"34003","PHL",1,"Bergen"
"34005","PHL",1,"Burlington"
"34007","PHL",1,"Camden"
"34009","PHL",1,"Cape May"
"34011","PHL",1,"Cumberland"
"34013","PHL",1,"Essex"
"34015","PHL",1,"Gloucester"
"34017","PHL",1,"Hudson"
"34019","PHL",1,"Hunterdon"
"34021","PHL",1,"Mercer"
"34023","PHL",1,"Middlesex"
"34025","PHL",1,"Monmouth"
"34027","PHL",1,"Morris"
"34029","PHL",1,"Ocean"
"34031","PHL",1,"Passaic"
"34033","PHL",1,"Salem"
"34035","PHL",1,"Somerset"
"34037","PHL",1,"Sussex"
"34039","PHL",1,"Union"
"34041","PHL",1,"Warren"
"42001","BWI",0.680911941029747,"Adams"
"42001","IAD",0.319087229049289,"Adams"
"42003","PIT",1,"Allegheny"
"42005","PIT",1,"Armstrong"
"42007","PIT",1,"Beaver"
"42009","IAD",0.870604288930691,"Bedford"
"42009","PIT",0.129395711613838,"Bedford"
"42011","BWI",0.000221673403942405,"Berks"
"42011","PHL",0.999779335237206,"Berks"
"42013","IAD",0.706960004869878,"Blair"
"42013","PIT",0.293039991172786,"Blair"
"42015","PHL",1,"Bradford"
"42017","PHL",1,"Bucks"
"42019","PIT",1,"Butler"
"42021","PIT",1,"Cambria"
"42023","PIT",1,"Cameron"
"42025","PHL",1,"Carbon"
"42027","BWI",0.20462535736939,"Centre"
"42027","IAD",0.747680233245883,"Centre"
"42027","PIT",0.0476944308205228,"Centre"
"42029","BWI",0.00720777861720834,"Chester"
"42029","PHL",0.992792385537666,"Chester"
"42031","PIT",1,"Clarion"
"42033","IAD",0.0186427292623534,"Clearfield"
"42033","PIT",0.981357222459974,"Clearfield"
"42035","BWI",0.621546424565724,"Clinton"
"42035","IAD",0.283482239051267,"Clinton"
"42035","PIT",0.0949679111783562,"Clinton"
"42037","PHL",1,"Columbia"
"42039","PIT",1,"Crawford"
"42041","BWI",0.681044121433882,"Cumberland"
"42041","IAD",0.318956980572074,"Cumberland"
"42043","BWI",1,"Dauphin"
"42045","PHL",1,"Delaware"
"42047","PIT",1,"Elk"
"42049","PIT",1,"Erie"
"42051","PIT",1,"Fayette"
"42053","PIT",1,"Forest"
"42055","IAD",1,"Franklin"
"42057","IAD",1,"Fulton"
"42059","PIT",1,"Greene"
"42061","IAD",1,"Huntingdon"
"42063","PIT",1,"Indiana"
"42065","PIT",1,"Jefferson"
"42067","BWI",0.635456771885181,"Juniata"
"42067","IAD",0.364543261443512,"Juniata"
"42069","PHL",1,"Lackawanna"
"42071","BWI",0.580048638701303,"Lancaster"
"42071","PHL",0.419951339007074,"Lancaster"
"42073","PIT",1,"Lawrence"
"42075","BWI",0.773780753770826,"Lebanon"
"42075","PHL",0.226216897737775,"Lebanon"
"42077","PHL",1,"Lehigh"
"42079","PHL",1,"Luzerne"
"42081","BWI",0.766026769597146,"Lycoming"
"42081","PHL",0.233973241357447,"Lycoming"
"42083","PIT",1,"McKean"
"42085","PIT",1,"Mercer"
"42087","BWI",0.308954838637019,"Mifflin"
"42087","IAD",0.691045109363353,"Mifflin"
"42089","PHL",1,"Monroe"
"42091","PHL",1,"Montgomery"
"42093","BWI",0.290094974609347,"Montour"
"42093","PHL",0.709905048232725,"Montour"
"42095","PHL",1,"Northampton"
"42097","BWI",0.80142623099238,"Northumberland"
"42097","PHL",0.198574870802089,"Northumberland"
"42099","BWI",0.785708208772276,"Perry"
"42099","IAD",0.214291771790882,"Perry"
"42101","PHL",1,"Philadelphia"
"42103","PHL",1,"Pike"
"42105","BWI",0.233896420987073,"Potter"
"42105","IAD",0.0171227895761424,"Potter"
"42105","PIT",0.748982895161305,"Potter"
"42107","BWI",0.104809485498367,"Schuylkill"
"42107","PHL",0.895189821313097,"Schuylkill"
"42109","BWI",1,"Snyder"
