GEO_ID,STATE,COUNTY,NAME.x,LSAD,CENSUSAREA,COUNTYFP,STATEFP,GEOID,NAME.y,variable,estimate,moe,id
0500000US42011,42,011,Berks,County,856.506,011,42,42011,"Berks County, Pennsylvania",B01003_001,407310,NA,PA
0500000US42013,42,013,Blair,County,525.8,013,42,42013,"Blair County, Pennsylvania",B01003_001,127071,NA,PA
0500000US42015,42,015,Bradford,County,1147.399,015,42,42015,"Bradford County, Pennsylvania",B01003_001,62415,NA,PA
0500000US42017,42,017,Bucks,County,604.307,017,42,42017,"Bucks County, Pennsylvania",B01003_001,622859,NA,PA
0500000US42019,42,019,Butler,County,788.604,019,42,42019,"Butler County, Pennsylvania",B01003_001,182554,NA,PA
0500000US42021,42,021,Cambria,County,688.351,021,42,42021,"Cambria County, Pennsylvania",B01003_001,144741,NA,PA
0500000US42023,42,023,Cameron,County,396.231,023,42,42023,"Cameron County, Pennsylvania",B01003_001,5197,NA,PA
0500000US42025,42,025,Carbon,County,381.46,025,42,42025,"Carbon County, Pennsylvania",B01003_001,64563,NA,PA
0500000US42027,42,027,Centre,County,1109.921,027,42,42027,"Centre County, Pennsylvania",B01003_001,151411,NA,PA
0500000US42029,42,029,Chester,County,750.508,029,42,42029,"Chester County, Pennsylvania",B01003_001,490571,NA,PA
0500000US42031,42,031,Clarion,County,600.834,031,42,42031,"Clarion County, Pennsylvania",B01003_001,40290,NA,PA
0500000US42033,42,033,Clearfield,County,1144.722,033,42,42033,"Clearfield County, Pennsylvania",B01003_001,82131,NA,PA
0500000US42035,42,035,Clinton,County,887.984,035,42,42035,"Clinton County, Pennsylvania",B01003_001,38970,NA,PA
0500000US42037,42,037,Columbia,County,483.108,037,42,42037,"Columbia County, Pennsylvania",B01003_001,66642,NA,PA
0500000US42039,42,039,Crawford,County,1012.298,039,42,42039,"Crawford County, Pennsylvania",B01003_001,89153,NA,PA
0500000US42041,42,041,Cumberland,County,545.459,041,42,42041,"Cumberland County, Pennsylvania",B01003_001,231336,NA,PA
0500000US42043,42,043,Dauphin,County,525.047,043,42,42043,"Dauphin County, Pennsylvania",B01003_001,264823,NA,PA
0500000US42045,42,045,Delaware,County,183.843,045,42,42045,"Delaware County, Pennsylvania",B01003_001,556468,NA,PA
0500000US42047,42,047,Elk,County,827.358,047,42,42047,"Elk County, Pennsylvania",B01003_001,32480,NA,PA
0500000US42049,42,049,Erie,County,799.154,049,42,42049,"Erie County, Pennsylvania",B01003_001,279234,NA,PA
0500000US42051,42,051,Fayette,County,790.339,051,42,42051,"Fayette County, Pennsylvania",B01003_001,138807,NA,PA
0500000US42053,42,053,Forest,County,427.185,053,42,42053,"Forest County, Pennsylvania",B01003_001,7585,NA,PA
0500000US42055,42,055,Franklin,County,772.224,055,42,42055,"Franklin County, Pennsylvania",B01003_001,146558,NA,PA
0500000US42057,42,057,Fulton,County,437.551,057,42,42057,"Fulton County, Pennsylvania",B01003_001,14839,NA,PA
0500000US42059,42,059,Greene,County,575.949,059,42,42059,"Greene County, Pennsylvania",B01003_001,39003,NA,PA
0500000US42061,42,061,Huntingdon,County,874.639,061,42,42061,"Huntingdon County, Pennsylvania",B01003_001,45830,NA,PA
0500000US42063,42,063,Indiana,County,827.03,063,42,42063,"Indiana County, Pennsylvania",B01003_001,88745,NA,PA
0500000US42065,42,065,Jefferson,County,652.429,065,42,42065,"Jefferson County, Pennsylvania",B01003_001,45244,NA,PA
0500000US42067,42,067,Juniata,County,391.35,067,42,42067,"Juniata County, Pennsylvania",B01003_001,24385,NA,PA
0500000US42069,42,069,Lackawanna,County,459.078,069,42,42069,"Lackawanna County, Pennsylvania",B01003_001,213731,NA,PA
0500000US42071,42,071,Lancaster,County,943.81,071,42,42071,"Lancaster County, Pennsylvania",B01003_001,511250,NA,PA
0500000US42073,42,073,Lawrence,County,358.175,073,42,42073,"Lawrence County, Pennsylvania",B01003_001,91682,NA,PA
0500000US42075,42,075,Lebanon,County,361.833,075,42,42075,"Lebanon County, Pennsylvania",B01003_001,131341,NA,PA
0500000US42077,42,077,Lehigh,County,345.166,077,42,42077,"Lehigh County, Pennsylvania",B01003_001,343946,NA,PA
0500000US42079,42,079,Luzerne,County,890.333,079,42,42079,"Luzerne County, Pennsylvania",B01003_001,319120,NA,PA
0500000US42081,42,081,Lycoming,County,1228.594,081,42,42081,"Lycoming County, Pennsylvania",B01003_001,116376,NA,PA
0500000US42083,42,083,McKean,County,979.197,083,42,42083,"McKean County, Pennsylvania",B01003_001,43853,NA,PA
0500000US42085,42,085,Mercer,County,672.575,085,42,42085,"Mercer County, Pennsylvania",B01003_001,117296,NA,PA
0500000US42087,42,087,Mifflin,County,411.031,087,42,42087,"Mifflin County, Pennsylvania",B01003_001,46583,NA,PA
0500000US42089,42,089,Monroe,County,608.286,089,42,42089,"Monroe County, Pennsylvania",B01003_001,168080,NA,PA
0500000US42091,42,091,Montgomery,County,483.04,091,42,42091,"Montgomery County, Pennsylvania",B01003_001,790497,NA,PA
0500000US42093,42,093,Montour,County,130.242,093,42,42093,"Montour County, Pennsylvania",B01003_001,18152,NA,PA
0500000US42095,42,095,Northampton,County,369.671,095,42,42095,"Northampton County, Pennsylvania",B01003_001,294536,NA,PA
0500000US42097,42,097,Northumberland,County,458.368,097,42,42097,"Northumberland County, Pennsylvania",B01003_001,94099,NA,PA
0500000US42099,42,099,Perry,County,551.445,099,42,42099,"Perry County, Pennsylvania",B01003_001,45599,NA,PA
0500000US42101,42,101,Philadelphia,County,134.101,101,42,42101,"Philadelphia County, Pennsylvania",B01003_001,1504950,NA,PA
0500000US42103,42,103,Pike,County,544.961,103,42,42103,"Pike County, Pennsylvania",B01003_001,56993,NA,PA
0500000US42105,42,105,Potter,County,1081.323,105,42,42105,"Potter County, Pennsylvania",B01003_001,17583,NA,PA
0500000US42107,42,107,Schuylkill,County,778.634,107,42,42107,"Schuylkill County, Pennsylvania",B01003_001,148288,NA,PA
0500000US42109,42,109,Snyder,County,328.705,109,42,42109,"Snyder County, Pennsylvania",B01003_001,39400,NA,PA
0500000US42111,42,111,Somerset,County,1074.374,111,42,42111,"Somerset County, Pennsylvania",B01003_001,78219,NA,PA
0500000US42113,42,113,Sullivan,County,449.94,113,42,42113,"Sullivan County, Pennsylvania",B01003_001,6467,NA,PA
