1,2,3,4,5,6,7,8
0.15,0.08333333333333333,0,0,0.03333333333333333,0.02702702702702703,0.20930232558139536,0
0.1,0.16666666666666666,0,0,0.05,0.06756756756756757,0.3488372093023256,0.16666666666666666
0,0.08333333333333333,0,0.034482758620689655,0.1,0.13513513513513514,0.3023255813953488,0.16666666666666666
0.1,0,0,0.022988505747126436,0.016666666666666666,0.06756756756756757,0.23255813953488372,0.05555555555555555
0,0,0.029411764705882353,0.034482758620689655,0.16666666666666666,0.12162162162162163,0.1511627906976744,0.1111111111111111
0,0,0,0,0.23333333333333334,0.0945945945945946,0.3372093023255814,0
0.05,0,0,0.011494252873563218,0.1,0.08108108108108109,0.3023255813953488,0.3888888888888889
0.1,0,0.029411764705882353,0,0.016666666666666666,0.02702702702702703,0.27906976744186046,0
0,0,0,0,0.06666666666666667,0.06756756756756757,0.1744186046511628,0.05555555555555555
0,0.08333333333333333,0,0,0.16666666666666666,0.05405405405405406,0.26744186046511625,0.16666666666666666
0,0,0,0,0.11666666666666667,0.08108108108108109,0.18604651162790697,0.05555555555555555
0.05,0,0,0.05747126436781609,0.15,0.12162162162162163,0.22093023255813954,0.2777777777777778
0,0,0,0.022988505747126436,0.1,0.17567567567567569,0.2558139534883721,0.16666666666666666
0,0,0,0,0.11666666666666667,0.05405405405405406,0.12790697674418605,0.1111111111111111
0.05,0,0,0.022988505747126436,0.18333333333333332,0.12162162162162163,0.19767441860465115,0.1111111111111111
0,0,0,0,0.1,0.08108108108108109,0.1744186046511628,0.05555555555555555
0.05,0,0,0,0.16666666666666666,0.14864864864864866,0.3023255813953488,0
0.05,0,0,0,0.1,0.08108108108108109,0.20930232558139536,0.2222222222222222
0,0,0,0,0.06666666666666667,0.12162162162162163,0.27906976744186046,0.3333333333333333
0,0,0,0,0.11666666666666667,0.08108108108108109,0.26744186046511625,0
0.1,0,0,0,0.05,0.12162162162162163,0.37209302325581395,0.1111111111111111
0.05,0,0,0,0.05,0.08108108108108109,0.19767441860465115,0.2222222222222222
0.05,0,0,0.022988505747126436,0.1,0.013513513513513514,0.22093023255813954,0.2777777777777778
0,0,0,0.011494252873563218,0.06666666666666667,0.16216216216216217,0.18604651162790697,0.2222222222222222
0.05,0,0,0.011494252873563218,0.05,0.10810810810810811,0.2558139534883721,0.1111111111111111
0,0,0,0,0.08333333333333333,0.013513513513513514,0.22093023255813954,0.2222222222222222
0.05,0,0,0,0.03333333333333333,0.08108108108108109,0.12790697674418605,0.05555555555555555
0,0,0,0.022988505747126436,0.18333333333333332,0.04054054054054054,0.27906976744186046,0.16666666666666666
0.05,0,0,0,0.16666666666666666,0.14864864864864866,0.26744186046511625,0
0.15,0,0,0,0.05,0.20270270270270271,0.26744186046511625,0.05555555555555555
0.05,0,0,0.011494252873563218,0.03333333333333333,0.08108108108108109,0.26744186046511625,0.05555555555555555
0.1,0,0.08823529411764706,0,0.11666666666666667,0.08108108108108109,0.2441860465116279,0.2777777777777778
0.05,0.16666666666666666,0,0.034482758620689655,0.1,0.02702702702702703,0.19767441860465115,0
0,0,0,0,0.15,0.10810810810810811,0.3372093023255814,0.1111111111111111
0,0,0,0,0.016666666666666666,0.04054054054054054,0.18604651162790697,0.05555555555555555
0,0,0,0.011494252873563218,0.08333333333333333,0.0945945945945946,0.1744186046511628,0.4444444444444444
0,0,0,0.011494252873563218,0.08333333333333333,0.05405405405405406,0.23255813953488372,0.16666666666666666
0,0,0,0,0.13333333333333333,0.04054054054054054,0.18604651162790697,0
