"county","airport_iata","attribution","countyname"
"42005","PIT",1,"Armstrong"
"42007","PIT",1,"Beaver"
"42009","IAD",0.870599669330891,"Bedford"
"42009","PIT",0.129400447223564,"Bedford"
"42011","BWI",0.000218877285611072,"Berks"
"42011","PHL",0.999782131159769,"Berks"
"42013","IAD",0.706991911070844,"Blair"
"42013","PIT",0.293008108919642,"Blair"
"42015","PHL",1,"Bradford"
"42019","PIT",1,"Butler"
"42021","PIT",1,"Cambria"
"42023","PIT",1,"Cameron"
"42025","PHL",1,"Carbon"
"42027","BWI",0.204625322672846,"Centre"
"42027","IAD",0.747701210385197,"Centre"
"42027","PIT",0.0476734876752776,"Centre"
"42029","BWI",0.00720327439153512,"Chester"
"42029","PHL",0.992798988634752,"Chester"
"42031","PIT",1,"Clarion"
"42033","IAD",0.0186483798750905,"Clearfield"
"42033","PIT",0.981351572522727,"Clearfield"
"42035","BWI",0.62155545419655,"Clinton"
"42035","IAD",0.283467265041372,"Clinton"
"42035","PIT",0.094975520010957,"Clinton"
"42037","PHL",1,"Columbia"
"42039","PIT",1,"Crawford"
"42041","BWI",0.681000696079899,"Cumberland"
"42041","IAD",0.319000390646721,"Cumberland"
"42043","BWI",1,"Dauphin"
"42045","PHL",1.00000010273973,"Delaware"
"42047","PIT",1,"Elk"
"42049","PIT",1,"Erie"
"42051","PIT",1,"Fayette"
"42053","PIT",1,"Forest"
"42055","IAD",0.999999999998933,"Franklin"
"42057","IAD",1.00000130488241,"Fulton"
"42059","PIT",1,"Greene"
"42061","IAD",1,"Huntingdon"
"42063","PIT",1,"Indiana"
"42065","PIT",1,"Jefferson"
"42067","BWI",0.63545015400625,"Juniata"
"42067","IAD",0.364549885616284,"Juniata"
"42069","PHL",1,"Lackawanna"
"42071","BWI",0.580041883278817,"Lancaster"
"42071","PHL",0.419958075826687,"Lancaster"
"42073","PIT",1,"Lawrence"
"42075","BWI",0.773738304523188,"Lebanon"
"42075","PHL",0.226259340812809,"Lebanon"
"42077","PHL",1,"Lehigh"
"42079","PHL",1,"Luzerne"
"42081","BWI",0.766042395660192,"Lycoming"
"42081","PHL",0.233957615294985,"Lycoming"
"42083","PIT",1,"McKean"
"42085","PIT",1,"Mercer"
"42087","BWI",0.308940803814318,"Mifflin"
"42087","IAD",0.691059152874296,"Mifflin"
"42089","PHL",1,"Monroe"
"42091","PHL",1,"Montgomery"
"42093","BWI",0.290155737519459,"Montour"
"42093","PHL",0.709844254409129,"Montour"
"42095","PHL",7.28022493455493e-11,"Northampton"
"42097","BWI",0.801444414788319,"Northumberland"
"42097","PHL",0.198556384695102,"Northumberland"
"42099","BWI",0.785742816495331,"Perry"
"42099","IAD",0.214257179211429,"Perry"
"42103","PHL",1,"Pike"
"42105","BWI",0.233919246852844,"Potter"
"42105","IAD",0.0170958406597944,"Potter"
"42105","PIT",0.74898372355977,"Potter"
"42107","BWI",0.104704793960276,"Schuylkill"
"42107","PHL",0.895294675100404,"Schuylkill"
"42109","BWI",1,"Snyder"
"42111","IAD",0.0136716751644474,"Somerset"
"42111","PIT",0.986328327024358,"Somerset"
"42113","PHL",1,"Sullivan"
"42115","PHL",1,"Susquehanna"
"42117","BWI",0.786566323778997,"Tioga"
"42117","PHL",0.21343312205182,"Tioga"
"42119","BWI",1,"Union"
"42121","PIT",1,"Venango"
"42123","PIT",1,"Warren"
"42125","PIT",1,"Washington"
"42127","PHL",1,"Wayne"
"42129","PIT",1,"Westmoreland"
"42131","PHL",1,"Wyoming"
"42133","BWI",1.00000000077859,"York"
"51001","ORF",0.0104520155119151,"Accomack"
"51003","IAD",0.26130973650784,"Albemarle"
"51003","RIC",0.738690220269645,"Albemarle"
"51005","PIT",0.511937974459794,"Alleghany"
"51005","RIC",0.488062029881932,"Alleghany"
"51007","RIC",1,"Amelia"
"51009","RIC",1,"Amherst"
"51011","RIC",1,"Appomattox"
"51013","DCA",0.999999956467826,"Arlington"
"51015","IAD",0.757447068508852,"Augusta"
"51015","RIC",0.242553623908203,"Augusta"
"51017","IAD",0.337796466133691,"Bath"
"51017","PIT",0.417677932141101,"Bath"
"51017","RIC",0.244525603944203,"Bath"
"51019","RIC",1,"Bedford"
"51021","PIT",1,"Bland"
"51023","RIC",1,"Botetourt"
"51025","RIC",1,"Brunswick"
"51027","PIT",1,"Buchanan"
"51029","RIC",1,"Buckingham"
"51031","RIC",1,"Campbell"
"51033","DCA",0.0377642400754301,"Caroline"
"51033","RIC",0.962235562244508,"Caroline"
"51035","PIT",0.00167266773180409,"Carroll"
"51035","RIC",0.998327881885274,"Carroll"
"51036","RIC",1,"Charles City"
"51037","RIC",1,"Charlotte"
"51041","RIC",1,"Chesterfield"
"51043","IAD",1,"Clarke"
"51045","PIT",0.126799897889093,"Craig"
"51045","RIC",0.87320193503586,"Craig"
"51047","IAD",1,"Culpeper"
"51049","RIC",1,"Cumberland"
"51051","PIT",1,"Dickenson"
"51053","RIC",1,"Dinwiddie"
"51057","DCA",0.00123956208275804,"Essex"
"51057","RIC",0.998760436851583,"Essex"
"51059","DCA",0.454379064473185,"Fairfax"
"51059","IAD",0.545620926171292,"Fairfax"
"51061","IAD",1,"Fauquier"
"51063","RIC",1,"Floyd"
"51065","RIC",1,"Fluvanna"
"51067","RIC",1,"Franklin"
"51069","IAD",1,"Frederick"
"51071","PIT",0.954971600139896,"Giles"
"51071","RIC",0.0450265000022993,"Giles"
"51073","ORF",0.805366319886314,"Gloucester"
"51073","RIC",0.194633679030801,"Gloucester"
"51075","RIC",1,"Goochland"
"51077","PIT",0.590403307291385,"Grayson"
"51077","RIC",0.409595592227766,"Grayson"
"51079","IAD",1,"Greene"
"51081","RIC",1,"Greensville"
"51083","RIC",1,"Halifax"
"51085","RIC",1,"Hanover"
"51087","RIC",1,"Henrico"
"51089","RIC",1,"Henry"
"51091","IAD",0.555832262652229,"Highland"
"51091","PIT",0.444167570028804,"Highland"
"51093","ORF",1,"Isle of Wight"
"51095","ORF",0.145821309434587,"James City"
"51095","RIC",0.854178844213977,"James City"
"51097","RIC",1,"King and Queen"
"51099","DCA",0.97829877266122,"King George"
"51099","RIC",0.0217012292444399,"King George"
"51101","RIC",1,"King William"
"51103","ORF",0.512172834773539,"Lancaster"
"51103","RIC",0.487827691898941,"Lancaster"
"51105","PIT",1,"Lee"
"51107","IAD",1.00000000103889,"Loudoun"
"51109","RIC",1,"Louisa"
"51111","RIC",1,"Lunenburg"
"51113","IAD",1,"Madison"
"51115","ORF",1,"Mathews"
"51117","RIC",1,"Mecklenburg"
"51119","ORF",0.389488503380127,"Middlesex"
"51119","RIC",0.610511492567847,"Middlesex"
"51121","PIT",0.00977093780266335,"Montgomery"
"51121","RIC",0.990229060686748,"Montgomery"
"51125","RIC",1,"Nelson"
"51127","RIC",1,"New Kent"
"51131","ORF",1,"Northampton"
"51133","ORF",0.439474330000298,"Northumberland"
"51133","RIC",0.560525627863308,"Northumberland"
"51135","RIC",1,"Nottoway"
"51137","IAD",0.913150004820968,"Orange"
"51137","RIC",0.0868501211134606,"Orange"
"51139","IAD",1,"Page"
"51141","RIC",1,"Patrick"
"51143","RIC",1,"Pittsylvania"
"51145","RIC",1,"Powhatan"
"51147","RIC",1,"Prince Edward"
"51149","RIC",1,"Prince George"
"51153","DCA",0.113839936869671,"Prince William"
"51153","IAD",0.886160060763697,"Prince William"
"51155","PIT",0.383385289726713,"Pulaski"
"51155","RIC",0.61661477443857,"Pulaski"
"51157","IAD",1,"Rappahannock"
"51159","DCA",0.00176413688995517,"Richmond"
"51159","RIC",0.998235810466676,"Richmond"
"51161","RIC",1,"Roanoke"
"51163","IAD",0.0248174478303407,"Rockbridge"
"51163","RIC",0.975181431634276,"Rockbridge"
"51163","IAD",0.0248174478303407,"Rockbridge"
"51163","RIC",0.975181431634277,"Rockbridge"
"51165","IAD",1,"Rockingham"
"51167","PIT",1,"Russell"
"51169","PIT",1,"Scott"
"51171","IAD",1,"Shenandoah"
"51173","PIT",1,"Smyth"
"51175","ORF",0.317087887557519,"Southampton"
"51175","RIC",0.682910811624985,"Southampton"
"51177","DCA",0.00236494333950669,"Spotsylvania"
"51177","IAD",0.431509672468617,"Spotsylvania"
"51177","RIC",0.566125611567025,"Spotsylvania"
"51179","DCA",0.142120855197514,"Stafford"
"51179","IAD",0.857879145010074,"Stafford"
"51181","ORF",0.247527319050344,"Surry"
"51181","RIC",0.752475213994689,"Surry"
"51183","RIC",1,"Sussex"
"51185","PIT",1,"Tazewell"
"51187","IAD",1,"Warren"
"51191","PIT",1,"Washington"
"51193","DCA",0.59732547090216,"Westmoreland"
"51193","RIC",0.402674570093572,"Westmoreland"
"51195","PIT",1,"Wise"
"51197","PIT",0.84661924914583,"Wythe"
"51197","RIC",0.153381197979262,"Wythe"
